filing_date,owner_name,owner_cik,form_type,shares_beneficially_owned,percent_of_class,sole_voting_power,shared_voting_power,sole_dispositive_power,shared_dispositive_power,filing_url
2021-01-26,BlackRock Inc.  (BLK),1364742,SC 13D/G,9217335,13.2,9006582,0,9217335,0,https://www.sec.gov/Archives/edgar/data/1364742/000083423721001340/us36467w1099_012621.txt
2021-01-28,Must Asset Management Inc.,1806987,SC 13G,0,0.0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1806987/000119312521019848/d945183dsc13ga.htm
2021-02-08,FMR LLC,315066,SC 13D/G,9276087,13.299,0,0,0,0,https://www.sec.gov/Archives/edgar/data/315066/000031506621001050/filing.txt
2021-02-10,FMR LLC,315066,SC 13D/G,87,0.0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/315066/000031506621001389/filing.txt
2021-02-10,VANGUARD GROUP INC,102909,SC 13D/G,5162095,7.4,0,58437,5053431,108664,https://www.sec.gov/Archives/edgar/data/102909/000110465921018148/tv0931-gamestopcorpclassa.htm
2021-02-12,"Senvest Management, LLC",1328785,SC 13G,5050915,7.24,0,5050915,0,5050915,https://www.sec.gov/Archives/edgar/data/1328785/000090266421001289/p21-0581sc13ga.htm
2021-02-12,"STATE STREET CORP  (STT, STT-PG)",93751,SC 13D/G,2445216,3.51,0,2194149,0,2445216,https://www.sec.gov/Archives/edgar/data/93751/000009375121000355/GameStopCorp.txt
2021-02-12,FOSS DONALD A,901185,SC 13G,0,0.0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/901185/000110465921022073/tm216322d2_sc13ga.htm
2021-09-09,BlackRock Inc.  (BLK),1364742,SC 13D/G,4720618,6.6,4541423,0,4720618,0,https://www.sec.gov/Archives/edgar/data/1364742/000083423721008979/us36467w1099_090921.txt
2022-02-01,BlackRock Inc.  (BLK),1364742,SC 13D/G,5194518,6.8,5012837,0,5194518,0,https://www.sec.gov/Archives/edgar/data/1364742/000083423722004089/us36467w1099_012822.txt
2022-02-08,DIMENSIONAL FUND ADVISORS LP,354204,SC 13G,8107,0.0,8107,0,8107,0,https://www.sec.gov/Archives/edgar/data/354204/000035420422001549/SEC13G_Filing.htm
2022-02-09,"Senvest Management, LLC",1328785,SC 13G,0,0.0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1328785/000090266422001301/p22-0643sc13ga.htm
2022-02-10,VANGUARD GROUP INC,102909,SC 13D/G,5931837,7.77,0,38230,5837633,94204,https://www.sec.gov/Archives/edgar/data/102909/000110465922017613/tv0960-gamestopcorpclassa.htm
2022-02-14,"SUSQUEHANNA SECURITIES, LLC",1446580,SC 13G,3056239,4.0,4751,3056239,4751,3056239,https://www.sec.gov/Archives/edgar/data/1446580/000110465922022357/tm225754d8_sc13ga.htm
2022-02-14,MAVERICK CAPITAL LTD,934639,SC 13G,0,0.0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/934639/000119312522042029/d254393dsc13ga.htm
2022-03-22,RC Ventures LLC,1822844,SC 13D,9101000,11.9,9101000,0,9101000,0,https://www.sec.gov/Archives/edgar/data/1822844/000092189522000946/sc13da612128005_03222022.htm
2023-02-03,BlackRock Inc.  (BLK),1364742,SC 13D/G,21977404,7.2,21237107,0,21977404,0,https://www.sec.gov/Archives/edgar/data/1364742/000130655023006550/us36467w1099_020323.txt
2023-02-09,VANGUARD GROUP INC,102909,SC 13D/G,24664433,8.1,0,91753,24315967,348466,https://www.sec.gov/Archives/edgar/data/102909/000110465923016010/tv0961-gamestopcorpclassa.htm
2023-06-13,RC Ventures LLC,1822844,SC 13D,36847842,12.1,36847842,0,36847842,0,https://www.sec.gov/Archives/edgar/data/1822844/000092189523001480/sc13da712128005_06132023.htm
2024-01-26,BlackRock Inc.  (BLK),1364742,SC 13D/G,22544527,7.4,21875886,0,22544527,0,https://www.sec.gov/Archives/edgar/data/1364742/000108636424004581/us36467w1099_012624.txt
2024-02-13,VANGUARD GROUP INC,102909,SC 13D/G,25450256,8.33,0,93857,25068626,381630,https://www.sec.gov/Archives/edgar/data/102909/000110465924020991/tv0991-gamestopcorpclassa.htm
2024-05-24,RC Ventures LLC,1822844,SC 13D,36847842,10.5,36847842,0,36847842,0,https://www.sec.gov/Archives/edgar/data/1822844/000119380524000707/sc13da812128005_05242024.htm
2024-06-11,RC Ventures LLC,1822844,SC 13D,36847842,8.6,36847842,0,36847842,0,https://www.sec.gov/Archives/edgar/data/1822844/000092189524001394/sc13da912128005_06112024.htm
